59	1.1 	-21	1
30	3.1 	-0.2	1
111	0.5 	-2.1	1  
19	1.8 	-0.6	1  
7	1.9 	-0.1	1  
7	13.0 	0.8	0  
18	6.5 	0.3	0  
4	16.5 	0.9	0 
4	11.2  	0.9	0 
4	13.5  	0.2	0  
38	5.3  	0.9	0  
6	5.6  	0.8	0 
4	9.9  	-0.2	0   
6	13.3 	0.3	0  
6	12.0	-1.3	0  
4	9.4 	1.0	0  
7	15.0 	0.8	0  
7	12.0 	0.0	0  
5	13.0 	0.7	0  
4	14.1 	0.8	0 
4	11.9 	0.2	0  
4	9.4 	-0.2	0  
3	16.2 	0.4	0  
3	12.1 	0.6	0  
2	14.0 	0.7	0  
2	14.5 	0.5	0  
2	15.6 	0.3	0 
2	10.1 	0.7	0 
2	15.3 	0.2	0  
2	9.2 	0.6	0   
2	17.2 	-1.5	0  
2	14.2 	-2.4	0  
8	14.6 	-2.0	0  
4	12.2 	-0.8	0  
6	1.7 	-1.2	0 
6	1813.9 	0.4	0  
139	0.9 	-2.0	1  
8	0.8 	-2.3	1 
189	0.7 	-1.0	1  
115	0.5 	-1.8	1  
7	1.8 	1.0	1
6	2.0 	-0.3	1
11	2.2 	0.4	1
5	7.9 	0.9	0 
4	1.9 	1.0	0
4	12.4 	0.5	0  
4	12.7 	-0.1	0 
4	4.2 	0.9	0  
4	16.5 	1.0	0  
4	12.9 	0.5	0  
4	9.3 	0.4	0  
6	15.1 	-0.3	0  
5	13.1 	-0.3	0  
6	11.9 	-0.0	0   
5	13.0 	0.1	0  
6	16.2 	0.8	0   
14	10.8 	0.9	0  
4	11.5 	1.6	0  
